Time,Az_SM,Fs_L1,Fs_L2,Fs_R1,Fs_R2,Pitch,Roll,Vz_SM,Xo,Yaw,Yo
            5, 0.00430131983012, 7654.67529297, 3118.51464844, 7654.67529297, 3118.51464844, 0.252120494843,             0,             0,             0,             0,             0
        5.025, 0.00365703064017,   7652.484375, 3118.13574219, 7653.44189453,  3118.6953125, 0.251943081617, 6.73949398333e-05, 0.0036958954297, 0.347195476294, -4.85950704388e-06, 7.43495718325e-07
         5.05, 0.00228492892347, 7647.97558594, 3117.33911133, 7651.49560547, 3119.02172852, 0.25151386857, 0.000498466892168, 0.00641484092921, 0.694324553013, -2.03974468604e-05, 5.59717091164e-06
        5.075, 0.000291851116344, 7642.62255859, 3116.29223633,  7648.0703125, 3118.89892578, 0.250899255276, 0.00152082846034, 0.00754562346265, 1.04137682915, -5.04267009092e-05, 1.66987065313e-05
          5.1, -0.00123796262778, 7636.69921875, 3114.95385742, 7643.75537109, 3118.37695312, 0.250240981579, 0.00293914997019, 0.0070715919137, 1.38833880424, -0.000105588842416, 3.06698530039e-05
        5.125, -0.00194552715402, 7630.81787109,  3113.4074707, 7639.66601562, 3117.66186523, 0.249736100435, 0.00423682574183, 0.00560678867623, 1.73519551754, -0.000191658298718, 4.07893021475e-05
         5.15, -0.00199021119624, 7625.93408203, 3111.86328125, 7636.53271484, 3116.82348633, 0.249558568001, 0.0050161476247, 0.00383320171386, 2.08193278313, -0.000303687585983, 4.2738072807e-05
        5.175, -0.00170572882053, 7622.84033203, 3110.49487305, 7634.57666016, 3115.81689453, 0.249781966209, 0.00521242897958, 0.00218887533993, 2.42853927612, -0.000428725354141, 3.68307883036e-05
          5.2, -0.00132772664074, 7621.75390625,  3109.3503418, 7633.73486328, 3114.61669922, 0.250349283218, 0.00499931862578, 0.000847859191708,  2.7750082016, -0.000551697157789, 2.62761495833e-05
        5.225, -0.00092958076857, 7622.32958984, 3108.39404297, 7633.83398438, 3113.29199219, 0.251105964184, 0.00459227338433, -0.000149723186041, 3.12133693695, -0.000660355435684, 1.44147543324e-05
         5.25, -0.000505360367242, 7623.93701172, 3107.59277344, 7634.61865234, 3111.98535156, 0.251870989799, 0.00413393555209, -0.000785100506619, 3.46752548218, -0.000747580837924, 3.2617499528e-06
        5.275, -6.92375324434e-05, 7625.93652344, 3106.95678711, 7635.74658203, 3110.84814453, 0.252501577139, 0.00369179085828, -0.0010376960272, 3.81357693672, -0.000810622179415, -6.37225593891e-06
          5.3, 0.000313728960464, 7627.83837891, 3106.51757812, 7636.84814453, 3109.98608398, 0.252919435501, 0.00329936179332, -0.000922719133087, 4.15949583054, -0.000849530042615, -1.42227772812e-05
        5.325, 0.000565534108318, 7629.31542969,  3106.2890625, 7637.61376953,  3109.4387207, 0.253098607063, 0.00298078218475, -0.000522832851857, 4.50528860092, -0.000866434478667, -2.02072806132e-05
         5.35, 0.000644764048047, 7630.17138672, 3106.25317383, 7637.84472656, 3109.19311523, 0.253038197756, 0.00275105680339, 2.56989806076e-05, 4.85096120834, -0.000864894827828, -2.43878948822e-05
        5.375, 0.0012703841785, 7630.32128906, 3106.46728516, 7637.44580078, 3109.12646484, 0.252744317055, 0.00260415743105, 0.00056805141503, 5.19652223587, -0.000847876188345, -2.70733180514e-05
          5.4, -0.0542747266591, 7627.35986328, 3086.28344727, 7638.80371094, 3134.34570312, 0.25206181407, 0.00392578775063, -0.0031437126454, 5.54198122025, -0.0011498851236, -1.37169536174e-05
        5.425, -0.0805828794837, 7627.31591797, 3129.13818359, 7635.27441406, 3158.24731445, 0.24641931057, 0.00360969244502, -0.0150757683441, 5.88739156723, -0.00100122368895, -1.73207263288e-05
         5.45, -0.0790568143129,      7627.375, 3174.03442383, 7629.53564453, 3170.02734375, 0.233511090279, 0.00377688324079, -0.045035559684, 6.23279571533, -0.000808953715023, -1.52875109052e-05
        5.475, 0.0172231309116, 7623.27050781, 3220.66723633, 7625.36181641, 3176.98242188, 0.21309620142, 0.00530265178531, -0.0579419434071, 6.57820177078, -0.000658675853629, 6.0413879055e-07
          5.5, 0.0415633432567, 7612.19042969, 3242.16210938, 7626.84521484, 3229.02441406, 0.190532878041, 0.0106666367501, -0.0612578727305, 6.92355251312, -0.00113309489097, 5.48951757082e-05
        5.525, 0.356389820576, 7602.36181641, 3255.00634766, 7630.51806641, 3279.00854492, 0.173697203398, 0.0169320739806, -0.0455074980855, 7.26876449585, -0.0017695898423, 0.00011332872964
         5.55, 0.374653548002, 7596.23583984, 3282.24365234, 7636.42480469, 3314.45825195, 0.16358949244, 0.0226255506277, -0.0325113348663, 7.61383056641, -0.00232879677787, 0.000158906608704
        5.575, 0.0283638592809, 7591.36425781, 3266.09008789, 7646.27832031, 3371.53564453, 0.158543244004, 0.0303937438875, -0.0234968159348, 7.95877408981, -0.00346566271037, 0.000219778099563
          5.6, -0.0648000240326, 7592.16259766, 3286.34814453, 7653.66113281, 3380.21972656, 0.154885306954, 0.0357924588025, -0.00342442234978, 8.30363750458, -0.00413506105542, 0.00024855567608
        5.625, -0.0598770342767, 7589.65576172, 3299.91015625, 7661.98779297,  3388.1003418, 0.150789007545, 0.0409917384386, -0.0114852217957, 8.64844417572, -0.00491375708953, 0.000268140051048
         5.65, -0.0573591031134, 7590.55078125,  3326.2956543, 7664.89404297,  3366.7565918, 0.147242948413, 0.0432909019291, -0.018650919199, 8.99318695068, -0.00542388018221, 0.000250507553574
        5.675, 0.0523089058697, 7588.30810547, 3349.08325195, 7668.81054688, 3353.88476562, 0.144865438342, 0.0456493347883, -0.0064277742058, 9.33785915375, -0.00605439161882, 0.000230843666941
          5.7, -0.0753038525581, 7581.95703125, 3339.53955078, 7675.47802734, 3370.99804688, 0.144266232848, 0.0498512461782, 0.00325939874165, 9.68246364594, -0.00710193114355, 0.000230168749113
        5.725, 0.0415904410183, 7575.99951172, 3320.24194336, 7681.59521484, 3393.61010742, 0.144739747047, 0.0535101257265, 0.000636428245343, 10.0270118713, -0.00818064529449, 0.000223106500925
         5.75, -0.103322982788, 7573.09667969, 3300.26977539, 7684.46923828, 3414.99682617, 0.145217627287, 0.0560757182539, 0.0207367837429, 10.3715238571, -0.00916567444801, 0.00020541001868
        5.775, -0.0617518126965, 7575.30517578, 3308.99731445, 7681.34912109, 3399.46582031, 0.145625084639, 0.0556752830744, -0.00185684277676, 10.7160072327, -0.00958197005093, 0.000158706941875
          5.8, -0.134712219238, 7576.69677734, 3322.74951172, 7677.64208984, 3385.74755859, 0.145055368543, 0.0548243224621, 0.0057712579146, 11.0604772568, -0.00984606146812, 0.000111734989332
        5.825, 0.0403185226023, 7576.50878906, 3361.49047852, 7673.12011719, 3353.14916992, 0.143708869815, 0.0524421520531, -0.0060650059022, 11.4049367905, -0.00966986361891, 5.34366081411e-05
         5.85, -0.0802476853132, 7571.31640625, 3339.95849609, 7672.93261719, 3370.98999023, 0.142421618104, 0.0530144385993, 0.00339997257106, 11.7493829727, -0.0101049495861, 3.22389350913e-05
        5.875, 0.309338182211, 7566.85253906, 3327.86962891, 7672.31591797, 3385.80859375, 0.141110271215, 0.0533259063959, -0.00191789283417, 12.0938215256, -0.0103223631158, 1.41748359965e-05
