Time,Fs_L1,Fs_R1,Fs_L2,Fs_R2,Roll,Pitch,Yaw,Xo,Yo,Vz_SM,Az_SM,Ay_SM,Vx,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,JncR_L1,JncR_L2,JncR_R1,JncR_R2
        0.425, 0.000605414970778, 3095.34179688, 7605.13818359, 7598.03076172, 0.251024454832, -0.520494580269, 5.88735055923, 0.00164973770734, 0.000629694142845, 49.7241859436, -3.49757465301e-05, 0.425000011921, -0.00306310015731, 0.18336455524, -0.522832155228, -0.433609604836, -0.597768962383, 3091.92260742, -0.782485485077, -0.0875532478094, -0.603902757168
         0.45, 0.00053980544908, 3095.37670898, 7602.85986328, 7596.26123047, 0.250293552876, -0.513137459755, 6.23262166977, 0.00216010189615, 0.000675383023918, 49.7116622925, -3.56185955752e-05, 0.449999988079, -0.00280652241781, 0.398026496172, -0.546956777573, -0.433870285749, -0.616535782814, 3092.26904297, -1.14046001434, 0.0626778528094, -0.893203794956
        0.475, 0.000417139730416, 3095.60473633, 7599.79931641,  7593.8515625, 0.249344348907, -0.500965058804, 6.57781171799, 0.00258589256555, 0.000711923930794, 49.7000846863, -3.3617932786e-05, 0.47499999404, -0.00249369395897, 0.567913532257, -0.579386472702, -0.430687457323, -0.642095565796, 3092.86499023, -1.44234657288, 0.187448769808, -1.1428412199
          0.5, 0.000256433733739, 3095.98681641, 7596.11767578, 7590.92382812, 0.248236432672, -0.485143959522, 6.92292642593, 0.00288528460078, 0.000738944334444, 49.6893157959, -2.94415895041e-05,           0.5, -0.00214346894063, 0.689392149448, -0.618416190147, -0.424726843834, -0.673166692257, 3093.65087891, -1.66521310806, 0.284650057554, -1.33115828037
        0.525, 7.51553743612e-05, 3096.48193359, 7592.02197266,   7587.640625, 0.247037187219, -0.466921538115, 7.26796960831, 0.00303256022744, 0.000756410008762, 49.6791763306, -2.32808542933e-05, 0.524999976158, -0.001775162993, 0.759507119656, -0.66186529398, -0.41669344902, -0.708024978638,     3094.5625, -1.79402458668, 0.353090554476, -1.44393229485
         0.55, -0.000112614223326, 3097.04638672, 7587.74560547, 7584.19287109, 0.245819956064, -0.447632968426, 7.61294412613, 0.00301615265198, 0.00076474720845, 49.6694488525, -1.5451985746e-05, 0.550000011921, -0.00140768464189, 0.773159205914, -0.70726031065, -0.407324880362, -0.744656383991,  3095.5324707, -1.81940710545, 0.391020447016, -1.47146439552
        0.575, -0.00029585667653, 3097.63012695, 7583.54052734,  7580.7890625, 0.244666591287, -0.428663939238, 7.95785045624, 0.00283470540307, 0.000764835393056, 49.6598548889, -5.16336513101e-06, 0.574999988079, -0.00105974532198, 0.741987943649, -0.751933574677, -0.397499740124, -0.780842006207, 3096.48925781, -1.73809671402, 0.38721716404, -1.40971338749
          0.6, -0.000447602797067, 3098.18554688, 7579.62988281, 7577.61572266, 0.243632495403, -0.41058665514, 8.30268955231, 0.00250303884968, 0.000757670437451, 49.6504325867, 4.96040956932e-06, 0.600000023842, -0.000746708596125, 0.703773319721, -0.79350990057, -0.388153761625, -0.814594328403, 3097.40039062, -1.57855713367, 0.360707193613, -1.28244686127
        0.625, -0.000529295590241,  3098.7121582, 7576.13916016, 7574.77929688, 0.242697671056, -0.393364399672, 8.64746379852, 0.00206513027661, 0.000744324293919, 49.6414260864, 1.29312638819e-05,         0.625, -0.000472716114018, 0.67970085144, -0.830644309521, -0.379293560982, -0.844777464867, 3098.26733398, -1.39315330982, 0.354391992092, -1.13277864456
         0.65, -0.000505110132508, 3099.25732422, 7573.05859375, 7572.27490234, 0.241797357798, -0.376175880432, 8.99217700958, 0.00160018436145, 0.000725759600755, 49.6330223083, 1.6737049009e-05, 0.649999976158, -0.000229898447287, 0.705782651901, -0.8634313941, -0.370027601719, -0.871440112591, 3099.13476562, -1.23825073242, 0.396175831556, -1.0067794323
        0.675, -0.000377003016183,  3099.8918457, 7570.27734375, 7570.01611328, 0.240869864821, -0.357566684484, 9.33683395386, 0.00120452523697, 0.000702715478837, 49.6253623962, 1.62210144481e-05, 0.675000011921, -4.76568766317e-06, 0.791961669922, -0.893043518066, -0.359050244093, -0.895496070385, 3100.07885742, -1.1410497427, 0.489369153976, -0.92568141222
          0.7, -0.000194353619008, 3100.67285156, 7567.65527344, 7567.89355469, 0.239880412817, -0.336254417896, 9.68144226074, 0.000950892514084, 0.000675670919009, 49.6185493469, 1.19780252135e-05, 0.699999988079, 0.00021628732793, 0.916742563248, -0.920980930328, -0.34531468153, -0.918113529682, 3101.16674805, -1.10338962078, 0.611751973629, -0.891165673733
        0.725, -2.42255682679e-05, 3101.62011719, 7565.05957031, 7565.80224609, 0.238818600774, -0.311686575413, 10.0260066986, 0.000857554376125, 0.000644812884275, 49.6126365662, 6.08483469478e-06, 0.725000023842, 0.000444162491476, 1.04692327976, -0.948640584946, -0.328469634056, -0.940397679806, 3102.42602539, -1.11711776257, 0.734135210514, -0.897784292698
         0.75, 8.78214341355e-05, 3102.71679688, 7562.38476562,    7563.65625, 0.237684652209, -0.284013152122, 10.3705339432, 0.000890833733138, 0.000609993643593, 49.6076583862, -2.63844390247e-06,          0.75, 0.000686131475959, 1.16199624538, -0.977162361145, -0.308837026358, -0.963278889656, 3103.84716797, -1.17005515099, 0.833377838135, -0.937322854996
        0.775, 0.000133056062623, 3103.93188477, 7559.55419922, 7561.38964844, 0.236479178071, -0.253787636757, 10.7150306702, 0.000992839108221, 0.000571214128286,  49.603603363, -1.03648071672e-05, 0.774999976158, 0.000945299805608, 1.25226128101, -1.00735545158, -0.287004202604, -0.987450122833,  3105.3996582, -1.24829614162, 0.909489691257, -0.999124467373
          0.8, 0.000129379841383, 3105.23583984, 7556.52685547, 7558.96484375, 0.235202103853, -0.221561834216, 11.0595035553, 0.0011113495566, 0.00052825617604,  49.600440979, -1.78035370482e-05, 0.800000011921, 0.00122170068789,  1.3230830431, -1.03966104984, -0.263510853052, -1.01332056522, 3107.05395508, -1.3365175724, 0.967722177505, -1.07117521763
        0.825, 0.000100496312371, 3106.61010742, 7553.29736328, 7556.37255859, 0.233857646585, -0.187748044729, 11.4039573669, 0.0012139492901, 0.000480908638565, 49.5981178284, -2.44760522037e-05, 0.824999988079, 0.00151266250759, 1.37995529175, -1.07414150238, -0.238700896502, -1.04099023342, 3108.78857422, -1.41992306709,  1.0157623291, -1.14100897312
         0.85, 6.14527307334e-05, 3108.04248047, 7549.89257812, 7553.63134766, 0.232458770275, -0.152667030692, 11.7483987808, 0.00128590152599, 0.00042901688721, 49.5965766907, -2.90740354103e-05, 0.850000023842, 0.00181365455501, 1.42427575588, -1.11051034927, -0.212784096599, -1.07026171684, 3110.58642578, -1.48574137688, 1.05624067783, -1.19767642021
        0.875, 1.65440196724e-05, 3109.52099609, 7546.36572266, 7550.78222656, 0.231026902795, -0.116659283638,  12.092833519, 0.00132074556313, 0.000372533599148,  49.595741272, -3.27320049109e-05,         0.875, 0.0021191611886, 1.45352470875, -1.14820492268, -0.185967862606, -1.10069441795, 3112.43066406, -1.52482008934, 1.08717262745, -1.23284399509
          0.9, -3.40940496244e-05,  3111.0300293, 7542.78564453, 7547.88183594, 0.22958779335, -0.0801402851939, 12.4372634888, 0.0013134124456, 0.000311527343001, 49.5955467224, -3.50054397131e-05, 0.899999976158, 0.00242341845296,   1.464874506, -1.18649125099, -0.158529564738, -1.13168954849, 3114.29956055, -1.53267478943, 1.10564494133, -1.24226093292
