Time,Fs_L1,Fs_R1,Fs_L2,Fs_R2,Roll,Pitch,Yaw,Xo,Yo,Vz_SM,Az_SM,Ay_SM,Vx,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,JncR_L1,JncR_L2,JncR_R1,JncR_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2
          0.3, 0.000316015328281, 3106.53271484, 7627.86914062, 7636.81347656, 0.252919584513, -0.152531325817, 4.15949583054, -0.000919761892874, -0.000870249175932, 49.8035545349, 3.01057370962e-05, 0.300000011921, 0.00324200605974, -0.594269454479, -0.282691419125, -0.238855347037, -0.187955886126,    3109.96875, 0.731218993664, -0.203188300133, 0.398519963026, -1.56736405188e-05,             0,             0,             0
        0.325, 0.00056770676747, 3106.31201172, 7629.36669922,  7637.5546875, 0.253098905087, -0.164204403758, 4.50528860092, -0.000517871172633, -0.000918890058529,   49.78540802, -4.95888480145e-06, 0.324999988079, 0.00290136737749, -0.340754330158, -0.267060369253, -0.242082059383, -0.180207356811, 3109.41088867, 0.505408227444, -0.0584539063275, 0.207563892007, -2.34057388298e-05,             0,             0,             0
         0.35, 0.000638844154309, 3106.28271484,  7630.2421875, 7637.76025391, 0.253038585186, -0.169791132212, 4.85096120834, 3.2082607504e-05, -0.000959351658821, 49.7683410645, -3.08184826281e-05, 0.34999999404, 0.00265128165483, -0.153173685074, -0.257922142744, -0.241968989372, -0.178059890866, 3109.15429688, 0.220787256956, 0.104656323791, -0.0434610284865, -2.985375977e-05,             0,             0,             0
        0.375, 0.00202696886845, 3106.49853516,    7630.40625, 7637.33886719, 0.252743989229, -0.171604454517, 5.19652223587, 0.000612510659266, -0.000994174857624, 49.7524452209, -0.00123004312627,         0.375, 0.00248860055581, 5.44272327423, -0.256213158369, -0.237254321575, -0.182493016124, 3109.10620117, -0.326836138964, -5.35826635361, -0.0669578462839, -3.52940114681e-05,             0,             0, -5.55111512313e-17
          0.4, -0.00539898872375, 3090.99536133, 7626.68505859, 7639.18115234, 0.251507103443, 0.575532793999, 5.54198646545, -0.00510733481497, -0.00137230579276, 49.7375526428, -0.16369690001, 0.40000000596, 0.00391905661672, -87.6895523071, -0.29603895545, -0.685772418976, -0.163768365979, 3141.39306641, 10.6570072174,  123.76234436, -11.4150304794, -2.3840848371e-05,             0, 5.55111512313e-17,             0
        0.425, -0.080716021359, 3131.85888672, 7627.55273438, 7634.71923828, 0.245582610369, 0.88017642498, 5.88740062714, -0.0199920255691, -0.00123235560022, 49.7237205505, -0.156659856439, 0.425000011921, 0.002972132992, -305.848907471, -0.289624392986, 0.206037968397, -0.212508365512, 3157.83642578, 25.5566692352, 351.481323242, -24.8370056152, -3.81506033591e-05,             0,             0,             0
         0.45, -0.0806196406484, 3173.68457031, 7627.95654297, 7628.60595703, 0.232369720936, 1.07391548157, 6.23280858994, -0.044171076268, -0.00109826936387, 49.7110443115, 0.24503557384, 0.449999988079, 0.00264636729844, -518.175354004, -0.288094967604, 1.15855312347, -0.278707295656,  3168.5534668, 17.7931652069, 583.748718262, -19.4321460724, -4.53954271507e-05, -5.55111512313e-17,             0,             0
        0.475, 0.0658322125673, 3228.93554688, 7624.42236328, 7623.71679688, 0.212221547961, 1.05036866665, 6.57821130753, -0.0620357990265, -0.000919529120438, 49.6992340088, 0.200741007924, 0.47499999404, 0.00368931074627,  140.00579834, -0.327953934669, 2.44551825523, -0.332161098719, 3171.48535156, -23.2465877533, -38.8572463989, 16.3248767853, -3.8100661186e-05, -5.55111512313e-17,             0, 5.55111512313e-17
          0.5, -0.0841852203012, 3233.40185547, 7613.58886719, 7625.49121094, 0.191284403205, 2.36049032211, 6.92354393005, -0.0485378280282, -0.00159335136414, 49.6883773804, 0.183409661055,           0.5, 0.00956351961941, 376.049041748, -0.44485989213, 2.45544743538, -0.315785974264, 3227.86523438, -34.7378425598, -341.241668701, 27.5117015839, 1.79813087016e-05,             0, 5.55111512313e-17, -5.55111512313e-17
        0.525, -0.0948505103588, 3245.69287109, 7602.75683594, 7630.39501953, 0.174739032984, 3.72526454926, 7.26875209808, -0.0407625958323, -0.00238738348708, 49.6783294678, -0.263474166393, 0.524999976158, 0.0167818721384, 586.322937012, -0.562149405479, 2.62924599648, -0.266195595264, 3286.81884766, -21.6523532867, -522.980651855, 18.9856319427, 8.30462377053e-05,             0,             0, 5.55111512313e-17
         0.55, -0.0793382078409, 3275.27758789, 7596.76269531, 7636.13720703, 0.164426028728, 4.47254705429, 7.61382007599, -0.0295202154666, -0.00300865573809, 49.6687545776, -0.258616745472, 0.550000011921, 0.0230703484267, 579.451965332, -0.628606021404, 3.26469779015, -0.20694001019,  3320.5534668, -20.1663532257, -513.488830566, 20.5239830017, 0.000130061933305,             0,             0,             0
        0.575, -0.0644586607814, 3277.50952148, 7591.51074219, 7645.94384766, 0.157997459173,  5.7515873909, 7.95877838135, -0.00162046344485, -0.00404948787764, 49.6592063904, -0.243609890342, 0.574999988079, 0.0299586839974, 57.6314201355, -0.687490642071, 3.21019816399, -0.103982947767, 3374.66918945,  16.159160614, -145.849563599, -7.74264669418, 0.000174204367795, 5.55111512313e-17,             0,             0
          0.6, -0.0621394999325, 3285.75317383, 7591.98925781, 7653.12304688, 0.154621258378, 5.86211395264,  8.3036403656, -0.00768234906718, -0.00484252627939,   49.65026474, -0.189664110541, 0.600000023842, 0.0351430997252, -338.15020752, -0.686049342155, 3.40538406372, -0.0274742096663,          3378, 30.7512931824, 303.248504639, -22.8930397034, 0.00019277035608,             0,             0,             0
        0.625, -0.182654753327, 3316.09399414, 7592.97021484, 7658.42431641, 0.151021659374,  5.5181517601,  8.6484413147, -0.00671738898382, -0.00550036458299, 49.6412506104, 0.127110883594,         0.625, 0.039657022804, -551.092651367, -0.679018974304, 4.12700557709, 0.0302578248084, 3364.75097656, 18.4846153259, 525.201293945, -16.3969345093, 0.000197476780158,             0,             0,             0
         0.65, 0.0130852218717, 3350.86669922, 7591.28417969, 7663.69335938, 0.148351252079, 4.75184774399, 8.99317359924, -0.00991578865796, -0.00604347232729, 49.6330490112, 0.189988225698, 0.649999976158, 0.0424596741796, 133.918670654, -0.69967931509, 4.99700593948, 0.0882241874933, 3334.20019531, -23.725944519, -113.524925232, 21.2369174957, 0.000175886700163, 5.55111512313e-17,             0,             0
        0.675, -0.0413737110794, 3335.13525391, 7584.27294922, 7672.27490234, 0.146287575364,  5.4937415123, 9.33784294128, -0.00359508092515, -0.00734930532053, 49.6254119873, 0.171279892325, 0.675000011921, 0.0465971753001, 355.584259033, -0.776163458824, 4.56916952133, 0.18130223453, 3365.11914062, -33.1693878174, -349.779571533, 29.7324371338, 0.000161732212291, 5.55111512313e-17,             0,             0
          0.7, 0.105207063258, 3318.03564453, 7578.77978516, 7678.33349609, 0.145736709237, 6.02796602249,  9.6824464798, -0.00807106960565, -0.00863457284868, 49.6188011169, -0.220159947872, 0.699999988079, 0.0496799945831, 586.472290039, -0.836502254009,  4.1294798851, 0.247848883271, 3386.50732422, -21.4621124268, -532.897338867, 20.5879173279, 0.000133336114231,             0,             0,             0
        0.725, -0.0924955233932, 3306.37646484, 7576.38671875, 7681.16650391, 0.145465120673, 6.51894617081, 10.0270023346, 0.0192811526358, -0.00988473184407, 49.6130485535, -0.251432985067, 0.725000023842, 0.0523829385638, 185.899871826, -0.863995492458, 3.81838798523, 0.280343651772, 3406.26879883, 5.88684606552, -312.312316895, -1.06012618542, 9.99088661047e-05,             0, -5.55111512313e-17,             0
         0.75, -0.0649546608329, 3302.48095703, 7574.85546875, 7682.04296875, 0.144870817661, 6.84358739853, 10.3715267181, 0.0129011981189, -0.0109885912389, 49.6080856323, -0.2239343822,          0.75, 0.0537010841072, -14.9575834274, -0.881991565228, 3.69788861275, 0.291754871607, 3420.56005859, 18.7593078613, -70.0491409302, -14.1312513351, 4.98329645779e-05,             0,             0,             0
